Marker file version: 1
Time format: Time
Chapter Title	00:00:02.00233333		
Verse 1	00:00:05.92668750		
Verse 2	00:00:18.35429167		
Heading 1	00:00:35.32462500		
Verse 3	00:00:39.63543750		
Verse 4	00:00:53.68210417		
Verse 5	00:01:04.02589583		
Verse 6	00:01:14.12589583		
Verse 7	00:01:23.15343750		
Verse 8	00:01:38.82633333		
Verse 9	00:01:50.73716667		
Verse 10	00:01:56.32187500		
Verse 11	00:02:04.21075000		
Verse 12	00:02:20.27741667		
Heading 2	00:02:41.97075000		
Verse 13	00:02:45.42408333		
Verse 14	00:02:59.50408333		
Verse 15	00:03:07.33075000		
Verse 16	00:03:14.87741667		
Verse 17	00:03:19.83741667		
Verse 18	00:03:30.37075000		
Verse 19	00:03:41.34462500		
Verse 20	00:03:47.84462500		
Verse 21	00:03:54.55129167		
Verse 22	00:04:05.38462500		
Verse 23	00:04:18.63795833		
Verse 24	00:04:29.47129167		
Verse 25	00:04:39.77129167		
End	00:04:46.95466667		
