Marker file version: 1
Time format: Time
Chapter Title	00:00:01.95112500		
Heading 1	00:00:06.19193750		
Verse 1	00:00:09.40072917		
Verse 2	00:00:23.30229167		
Verse 3	00:00:27.88739583		
Verse 4	00:00:36.79406250		
Verse 5	00:00:49.12072917		
Verse 6	00:01:01.66112500		
Verse 7	00:01:12.40779167		
Heading 2	00:01:30.92612500		
Verse 8	00:01:34.14672917		
Verse 9	00:01:45.62006250		
Verse 10	00:02:01.44006250		
Verse 11	00:02:11.11339583		
Verse 12	00:02:16.69339583		
Verse 13	00:02:29.41339583		
Verse 14	00:02:34.60006250		
Verse 15	00:02:48.40145833		
Verse 16	00:03:01.11479167		
Verse 17	00:03:18.52145833		
Verse 18	00:03:25.40012500		
Verse 19	00:03:39.52679167		
Verse 20	00:03:43.77856250		
Verse 21	00:04:00.05189583		
Verse 22	00:04:14.81189583		
End	00:04:22.84985417		
