Marker file version: 1
Time format: Time
Chapter Title	00:00:01.99081250		
Heading 1	00:00:06.08200000		
Verse 1	00:00:10.92600000		
Verse 2	00:00:22.87625000		
Verse 3	00:00:39.41591667		
Verse 4	00:00:47.20795833		
Verse 5	00:00:53.99739583		
Verse 6	00:01:08.62875000		
Verse 7	00:01:15.94585417		
Verse 8	00:01:22.54579167		
Verse 9	00:01:32.85752083		
Verse 10	00:01:42.90914583		
Verse 11	00:02:00.53606250		
Heading 2	00:02:06.15500000		
Verse 12	00:02:09.17900000		
Verse 13	00:02:24.50489583		
Verse 14	00:02:32.59841667		
End	00:02:40.31156250		
