Marker file version: 1
Time format: Time
Chapter Title	00:00:01.93091667		
Verse 1	00:00:06.10766667		
Verse 2	00:00:15.56766667		
Verse 3	00:00:26.09433333		
Heading 1	00:00:30.49122917		
Verse 4	00:00:34.66100000		
Verse 5	00:00:43.90766667		
Verse 6	00:00:59.40100000		
Verse 7	00:01:14.14766667		
Verse 8	00:01:28.02100000		
Verse 9	00:01:40.39433333		
Verse 10	00:01:55.07433333		
Heading 2	00:02:06.67583333		
Verse 11	00:02:10.90100000		
Verse 12	00:02:21.32100000		
Verse 13	00:02:35.72766667		
Verse 14	00:02:45.16766667		
Verse 15	00:02:53.32766667		
Verse 16	00:03:01.82100000		
Verse 17	00:03:10.89825000		
Verse 18	00:03:18.55631250		
Verse 19	00:03:27.98964583		
Verse 20	00:03:38.04964583		
Verse 21	00:03:50.62964583		
Verse 22	00:04:00.68297917		
Verse 23	00:04:06.21631250		
Verse 24	00:04:17.88297917		
Verse 25	00:04:31.56297917		
End	00:04:40.70641667		
